City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Moranbah,AU,2020-02-21 23:47:16,-22.0,148.05,84.24,62,95,17.9
190,La Union,PE,2020-02-21 23:47:16,-5.4,-80.75,85.71,52,75,13.31
191,Dingle,PH,2020-02-21 23:47:17,11.0,122.67,73.18,89,68,13.71
192,Wanxian,CN,2020-02-21 23:47:17,30.8,108.39,43.92,89,1,2.86
193,Butaritari,KI,2020-02-21 23:47:17,3.07,172.79,83.73,72,100,7.56
194,La Ronge,CA,2020-02-21 23:47:17,55.1,-105.28,41.0,41,20,9.17
195,Iisalmi,FI,2020-02-21 23:47:17,63.56,27.19,35.6,81,90,14.99
196,Provideniya,RU,2020-02-21 23:47:17,64.38,-173.3,-8.93,76,75,1.07
197,Ossora,RU,2020-02-21 23:47:18,59.24,163.07,-3.84,69,0,0.09
198,Dibulla,CO,2020-02-21 23:43:02,11.27,-73.31,80.6,74,93,13.87
199,Richards Bay,ZA,2020-02-21 23:46:56,-28.78,32.04,76.91,88,1,11.86
200,North Bend,US,2020-02-21 23:47:18,43.41,-124.22,51.8,76,1,13.87
201,Bam,IR,2020-02-21 23:47:19,29.11,58.36,59.97,46,0,2.8
202,Kantang,TH,2020-02-21 23:47:19,7.41,99.52,77.0,83,75,5.82
203,Srednekolymsk,RU,2020-02-21 23:47:19,67.45,153.68,-14.62,96,88,2.44
204,Flin Flon,CA,2020-02-21 23:47:19,54.77,-101.86,41.0,38,75,6.93
205,Portland,US,2020-02-21 23:47:19,45.52,-122.68,59.0,35,40,3.36
206,Chlorakas,CY,2020-02-21 23:47:20,34.8,32.41,50.0,93,75,5.82
207,Arman,RU,2020-02-21 23:47:20,59.7,150.17,-5.24,81,0,4.56
208,Pangai,TO,2020-02-21 23:47:20,-19.8,-174.35,84.2,74,75,11.41
209,Takoradi,GH,2020-02-21 23:47:20,4.88,-1.76,78.57,89,93,3.85
210,Florianopolis,BR,2020-02-21 23:45:15,-27.61,-48.5,69.8,73,75,9.17
211,Peniche,PT,2020-02-21 23:47:20,39.36,-9.38,61.0,62,0,5.82
212,Chapeco,BR,2020-02-21 23:44:35,-27.1,-52.62,57.63,65,0,3.38
213,Yaan,NG,2020-02-21 23:47:21,7.38,8.57,82.78,18,1,3.67
214,Traverse City,US,2020-02-21 23:45:56,44.76,-85.62,33.8,43,1,10.29
215,Balyaga,RU,2020-02-21 23:47:22,51.15,108.92,-1.57,90,25,3.24
216,Ankazoabo,MG,2020-02-21 23:47:22,-22.28,44.52,70.61,93,53,4.94
217,Khatanga,RU,2020-02-21 23:47:22,71.97,102.5,-15.83,96,34,8.46
218,Poli,TZ,2020-02-21 23:44:13,-3.33,36.8,73.4,82,20,6.93
219,Ancud,CL,2020-02-21 23:47:23,-41.87,-73.82,75.2,27,0,5.82
220,El Progreso,HN,2020-02-21 23:47:23,15.4,-87.8,82.4,61,75,11.41
221,Souillac,MU,2020-02-21 23:47:23,-20.52,57.52,77.0,73,40,4.7
222,Aksha,RU,2020-02-21 23:47:23,50.28,113.29,1.76,85,0,3.87
223,Mezen,RU,2020-02-21 23:47:24,65.85,44.24,31.37,84,100,19.8
224,Camacha,PT,2020-02-21 23:47:24,33.08,-16.33,59.0,82,40,12.75
225,Chandbali,IN,2020-02-21 23:47:24,20.78,86.77,70.79,68,20,8.05
226,Dubbo,AU,2020-02-21 23:45:07,-32.25,148.62,73.4,60,75,20.8
227,Wenling,CN,2020-02-21 23:47:24,28.37,121.36,57.0,74,100,1.01
228,Parsons,US,2020-02-21 23:46:30,37.34,-95.26,44.6,35,1,11.41
229,Balakhta,RU,2020-02-21 23:47:25,55.38,91.6,16.47,88,100,0.74
230,Kavaratti,IN,2020-02-21 23:47:25,10.57,72.64,81.43,81,10,14.85
231,Georgetown,MY,2020-02-21 23:45:38,5.41,100.34,80.6,83,20,3.36
232,Nisia Floresta,BR,2020-02-21 23:47:25,-6.09,-35.21,82.4,83,20,8.05
233,Kodiak,US,2020-02-21 23:47:25,57.79,-152.41,26.6,49,75,40.38
234,Tambura,SS,2020-02-21 23:47:25,5.6,27.47,74.32,25,11,3.71
235,Kirakira,SB,2020-02-21 23:47:26,-10.45,161.92,84.34,74,92,4.47
236,Nanortalik,GL,2020-02-21 23:47:26,60.14,-45.24,26.26,79,88,7.63
237,Velky Osek,CZ,2020-02-21 23:47:26,50.1,15.19,39.0,74,91,6.93
238,Sobolevo,RU,2020-02-21 23:47:26,54.43,31.9,31.73,90,26,7.7
239,Katesh,TZ,2020-02-21 23:47:27,-4.52,35.38,60.82,97,100,5.64
240,Luderitz,NA,2020-02-21 23:47:27,-26.65,15.16,66.2,82,31,16.11
241,Praia,CV,2020-02-21 23:47:27,14.92,-23.51,69.8,73,20,19.46
242,Ixtapa,MX,2020-02-21 23:44:16,20.7,-105.2,78.8,74,20,8.05
243,Launceston,AU,2020-02-21 23:43:19,-41.45,147.17,66.0,63,4,6.93
244,Bethel,US,2020-02-21 23:47:27,41.37,-73.41,33.01,30,1,4.54
245,Rexburg,US,2020-02-21 23:47:28,43.83,-111.79,24.8,45,1,3.36
246,Isiro,CD,2020-02-21 23:47:28,2.77,27.62,73.54,58,31,1.05
247,Pauini,BR,2020-02-21 23:47:28,-7.71,-66.98,74.35,99,100,4.45
248,Barrow,US,2020-02-21 23:45:02,71.29,-156.79,-9.4,76,90,10.29
249,Umm Lajj,SA,2020-02-21 23:47:28,25.02,37.27,61.45,45,0,5.79
250,Gat,IL,2020-02-21 23:47:29,31.61,34.76,55.4,82,40,11.41
251,Santa Maria,BR,2020-02-21 23:45:23,-29.68,-53.81,66.2,55,0,3.36
252,Kitui,KE,2020-02-21 23:47:29,-1.37,38.01,67.75,97,75,4.97
253,Labuhan,ID,2020-02-21 23:47:29,-6.88,112.21,76.68,90,46,3.69
254,Coihaique,CL,2020-02-21 23:47:30,-45.58,-72.07,77.0,15,0,8.05
255,Beringovskiy,RU,2020-02-21 23:47:30,63.05,179.32,-5.03,75,2,1.12
