,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Mataro,ES,54.0,moderate rain,41.54,2.44,URH Ciutat de Mataró
442,Laguna,US,57.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
443,Matehuala,MX,61.47,overcast clouds,23.65,-100.65,Las Palmas Midway Inn
444,Vila Do Maio,CV,69.8,overcast clouds,15.13,-23.22,Residence 'I Delfini'
445,Pinos,MX,59.0,clear sky,22.3,-101.57,Hotel El Meson Del Conde
448,Mindelo,CV,68.0,broken clouds,16.89,-24.98,Hotel Gaudi
449,Shadegan,IR,59.0,mist,30.65,48.66,مسافر خانه ابو ولید
452,Pahrump,US,48.99,broken clouds,36.21,-115.98,Best Western Pahrump Oasis
453,Labutta,US,48.99,broken clouds,36.21,-115.98,Best Western Pahrump Oasis
454,Bermeo,ES,46.99,clear sky,43.42,-2.72,Eco-Hotel Mundaka
459,Xichang,CN,48.69,clear sky,27.9,102.26,Xichang ibis Hotel
462,Kolokani,ML,78.15,scattered clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
463,Mabaruma,GY,69.91,overcast clouds,8.2,-59.78,
466,Wajir,KE,78.8,scattered clouds,1.75,40.06,Wajir Palace Hotel
469,Hobyo,SO,76.05,broken clouds,5.35,48.53,
474,Palafrugell,ES,48.99,fog,41.92,3.16,Hotel Garbi
475,Champerico,GT,77.0,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
476,Bogande,BF,75.49,scattered clouds,12.97,-0.14,
477,Meridian,US,41.0,clear sky,43.61,-116.39,Courtyard by Marriott Boise West/Meridian
479,Portobelo,PA,77.0,few clouds,9.55,-79.65,Scuba Portobelo
480,Bridlington,GB,44.01,heavy intensity rain,54.08,-0.19,Expanse Bridlington Seafront Hotel
482,Santarem,BR,75.2,overcast clouds,-2.44,-54.71,Hotel Imperador
489,Ceccano,IT,48.0,overcast clouds,41.57,13.33,Hotel La Villa
492,Lauchhammer,DE,46.99,moderate rain,51.5,13.8,MR-Hotel & lukAs Restaurant-Bar
494,Carmen,MX,70.9,clear sky,18.63,-91.83,Hotel Lossandes
495,Barentsburg,MX,70.9,clear sky,18.63,-91.83,Hotel Lossandes
500,Tonj,SS,71.64,scattered clouds,7.27,28.68,
504,Ibra,OM,67.08,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
508,Umtata,ZA,57.2,light intensity drizzle,-31.59,28.78,LLZZ Boutique Lodge
509,Rungata,ZA,57.2,light intensity drizzle,-31.59,28.78,LLZZ Boutique Lodge
511,Xam Nua,LA,66.31,clear sky,20.42,104.04,Phoudy Guesthouse
516,Newport,GB,55.99,light rain,51.59,-3.0,Hotel ibis budget Newport
517,Tahoua,NE,73.4,overcast clouds,14.89,5.27,Bungalows Guesthouse
518,Huarmey,PE,74.57,overcast clouds,-10.07,-78.15,Hotel Miramar
519,Grande-Riviere,PE,74.57,overcast clouds,-10.07,-78.15,Hotel Miramar
520,Bandar-E Torkaman,PE,74.57,overcast clouds,-10.07,-78.15,Hotel Miramar
521,Edgewater,US,57.99,clear sky,28.99,-80.9,Islander Beach Resort
526,Toliary,ZM,68.0,light rain,-15.33,28.68,Farm KS
527,Talcahuano,CL,57.2,clear sky,-36.72,-73.12,Hotel Terramar
528,Ponta Delgada,PT,57.2,broken clouds,37.73,-25.67,Vila Nova Hotel
529,Zahesi,GE,44.6,overcast clouds,41.82,44.75,Hotel Mtskheta Sanapiro
530,Dimona,IL,45.0,clear sky,31.07,35.03,Hotel Drachim
531,Zaidpur,IN,68.0,mist,26.83,81.33,LAAL KOTHI ZAIDPUR
533,Praia Da Vitoria,PT,55.4,scattered clouds,38.73,-27.07,Hotel Branco I
534,Khani,GE,44.6,shower rain,41.96,42.96,
535,Ulladulla,AU,77.0,scattered clouds,-35.35,150.47,Sandpiper Motel
536,Ambilobe,MG,73.49,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
538,Virginia Beach,US,43.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
541,Rosa Zarate,EC,73.78,overcast clouds,0.33,-79.47,Piscinas y Recepciones Hecalash
543,Vercelli,IT,45.0,mist,45.32,8.42,Hotel Cinzia Ristorante
544,Chhindwara,IN,72.32,clear sky,22.07,78.93,STARiHOTELS Chhindwara
548,Niigata,JP,42.8,broken clouds,37.9,139.02,Toyoko Inn Niigata Ekimae
550,Qingquan,CN,62.6,few clouds,30.45,115.26,Caiyuan Hotel
553,Anshun,CN,54.61,overcast clouds,26.25,105.93,安顺麦吉风格酒店
554,General Pico,AR,59.43,clear sky,-35.66,-63.76,Hotel Malargue
555,Rio Gallegos,AR,59.0,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
556,Kishi,NG,74.7,clear sky,9.08,3.85,AMARC GUEST HOUSE
557,Dubenskiy,NG,74.7,clear sky,9.08,3.85,AMARC GUEST HOUSE
558,Taoudenni,ML,73.22,broken clouds,22.68,-3.98,
559,Kaohsiung,TW,78.8,scattered clouds,22.62,120.31,Kindness Hotel
561,Fort-Shevchenko,KZ,40.37,overcast clouds,44.51,50.26,Oasis hotel Bautino
563,Ballarpur,IN,74.84,clear sky,19.83,79.35,Central Railway Guest House
565,Los Alamos,US,44.01,light rain,35.89,-106.31,Holiday Inn Express & Suites Los Alamos Entrada Park
568,Yeppoon,AU,78.8,light intensity shower rain,-23.13,150.73,Villa Mar Colina
571,Suhl,DE,48.99,light rain,50.6,10.7,Ringberghaus
